station,dst_score,total_flow,Latitude,Longitude
1122257,2.9375634063153395,1473.071428571429,33.210909,-117.387715
1122507,4.461358918461401,1620.071428571429,33.027309,-117.275242
1122512,3.420787020882744,1200.357142857143,33.048098,-117.286976
1122536,3.9915862642419353,1275.75,32.911944,-117.22849800000002
1122544,4.1191210307199935,1567.178571428571,32.911749,-117.228804
1122552,4.357179985250242,1454.2142857142858,32.918793,-117.23544
1122553,0.24835009820298917,64.53571428571429,32.918793,-117.23544
1122560,3.126582563138802,1198.107142857143,32.919669,-117.236554
1122561,0.15752047980563927,56.82142857142857,32.919669,-117.236554
1122567,1.4330346574530415,248.1428571428572,32.919646,-117.236534
1122575,4.263125249874423,1432.2142857142858,32.925983,-117.23942
1122576,0.28666823869284813,70.10714285714286,32.925983,-117.23942
1122583,3.154689846994831,1220.142857142857,32.925921,-117.239666
1122584,0.16287026055417977,51.0,32.925921,-117.239666
1122594,2.735459278312538,931.3571428571428,32.837787,-117.234529
1122734,0.4681832482572355,105.57142857142856,32.979329,-117.252709
1123133,3.0368331320592277,1095.571428571429,32.59507,-117.088901
1123134,0.6621739844624833,269.92857142857144,32.59507,-117.088901
1125314,3.629046079758478,1271.2142857142858,33.037208,-117.281927
1125469,3.6198673951228977,1082.0,32.688971,-117.115919
1126411,3.122254855126929,1206.857142857143,32.770653,-117.206673
1126426,3.788344592826743,1340.2142857142858,32.767402,-117.20613
1126614,4.381220255385826,1478.0357142857142,32.987715,-117.255119
1126864,2.985673754315061,1539.178571428571,32.694337,-117.124759
1127123,1.8559408822411199,814.7142857142857,32.908625,-117.22684
1204193,2.7086005226975893,1110.607142857143,33.404943,-117.598167
1204198,3.338332077227792,1255.607142857143,33.40516,-117.597992
1204211,2.958697972384243,1035.5357142857142,33.413319,-117.6021
1204216,2.9941543325746127,1279.7142857142858,33.41325,-117.602338
1204230,3.181876796369392,1160.107142857143,33.420685,-117.606498
1204244,3.3720872669562882,1138.7857142857142,33.428811,-117.611817
1204255,3.6256811116248198,1210.321428571429,33.432425,-117.61551900000002
1204268,3.121773588176152,1123.7142857142858,33.440202,-117.624486
1204273,2.8232667309601474,1196.107142857143,33.440044,-117.624646
1204279,3.3617433112048616,1160.357142857143,33.44466,-117.630415
1204301,3.781276269840447,1219.2142857142858,33.455773,-117.650183
1204306,3.7479501420641363,1403.571428571429,33.455612,-117.650318
1204316,3.5291532468413305,1232.9642857142858,33.458342,-117.655008
1204328,3.8520757492694533,1268.5357142857142,33.459637,-117.657305
1204340,3.4754143746693615,1356.7857142857142,33.464404,-117.665509
1204345,3.6649808363128717,1206.0357142857142,33.464281,-117.665631
1204357,3.2484885751709474,1282.75,33.465471,-117.667379
1204372,3.2658687045020964,1151.607142857143,33.468032,-117.671714
1204384,3.584784825912818,1277.642857142857,33.475073,-117.674271
1204390,4.459422779349015,1590.928571428571,33.481738,-117.669881
1204395,3.6576151898311466,1072.928571428571,33.481685,-117.669596
1204401,3.6984468616057966,1435.2857142857142,33.489176,-117.663917
1204409,3.9005312776377976,1320.0357142857142,33.489561,-117.663255
1204415,4.0590532184320764,1658.857142857143,33.499521,-117.658583
1204422,3.7633042268607237,1271.75,33.503727,-117.658585
1204428,4.349819228154949,1485.0,33.517588,-117.664664
1204436,4.3527508567664945,1418.9642857142858,33.52247,-117.666382
1204442,3.7087393801595856,1316.7142857142858,33.526418,-117.668912
1204447,3.971442493313241,1326.607142857143,33.526621,-117.66866
1204453,4.687083358613367,1491.428571428571,33.53247,-117.674488
1204458,4.619569254566626,1529.9642857142858,33.53231,-117.674919
1204472,3.3328916389638814,1435.321428571429,33.548817,-117.672686
1204478,2.8169654118443046,1185.2142857142858,33.556667,-117.673131
1204486,3.351042677873355,1422.5357142857142,33.558096,-117.672848
1204501,4.746589479689457,2319.0,33.560549,-117.672791
1204507,3.841267031756851,1617.857142857143,33.577397,-117.671983
1204515,3.86523894984662,1468.178571428571,33.578849,-117.67162
1204521,3.816888228102842,1627.9642857142858,33.581316,-117.671925
1204532,3.3265304870993773,1212.9642857142858,33.582052,-117.67157
1204538,7.318235982649742,2966.6071428571427,33.595354,-117.673779
1204546,3.775268621891733,1329.7857142857142,33.597861,-117.676059
1204552,4.063375717536076,1854.25,33.597607,-117.67615
1204559,4.765686101590693,2319.0,33.599252,-117.678685
1204565,5.5953312049348485,2132.3214285714284,33.602645,-117.687691
1204571,4.7654889461146555,2320.714285714286,33.604242,-117.68984
1204577,3.989303450814273,1258.4642857142858,33.604617,-117.69087
1204586,4.765697516523802,2320.5714285714284,33.606025,-117.692734
1204591,0.5772978585392651,174.0,33.606025,-117.692734
1204607,6.650587644148594,2666.928571428572,33.612561,-117.705361
1204615,6.880215874073276,3439.714285714286,33.613883,-117.706467
1204621,5.9570495484220265,2786.0,33.614654,-117.707825
1204632,6.880215874073276,3439.714285714286,33.616112,-117.70901
1204638,4.765697516523802,2320.5714285714284,33.621929,-117.714379
1204643,6.404428272111969,3362.5714285714284,33.621819,-117.714838
1204650,5.487412499520347,2305.714285714286,33.627286,-117.719875
1204665,5.864586255373703,2315.678571428572,33.628454,-117.720919
1204672,5.301574976211078,2040.357142857143,33.629553,-117.721491
1204682,5.2163099922536675,1788.25,33.632102,-117.724337
1204688,5.20072104304833,2131.6071428571427,33.631989,-117.724813
1204695,5.102090237946299,2154.678571428572,33.635959,-117.728446
1204697,5.206650223340643,1786.5357142857142,33.636144,-117.72806
1204699,2.992738312992445,1210.928571428571,33.640323,-117.731437
1204701,4.584699102752922,2386.535714285714,33.640308,-117.731896
1204703,2.626980371393822,1131.571428571429,33.644068,-117.734444
1204714,0.5351917397224393,204.82142857142856,33.652076,-117.741205
1204716,2.6926488132372945,1204.25,33.654255,-117.74294
1204729,0.5008258203221821,157.82142857142858,33.654371,-117.742629
1204731,3.75346212046243,1562.428571428571,33.654371,-117.742629
1204737,3.8118997257206044,1434.4642857142858,33.654741,-117.743323
1204748,0.4997582356879163,156.64285714285714,33.655581,-117.743597
1204750,4.055446766423486,1845.9642857142856,33.655581,-117.743597
1204757,0.4925655747148936,156.5,33.662274,-117.748817
1204759,0.8577045484979223,368.07142857142856,33.662021,-117.749253
1204761,4.462592623618662,1477.9642857142858,33.662021,-117.749253
1204766,4.2791395787346085,1933.7142857142856,33.662274,-117.748817
1204777,0.5951725472756588,213.53571428571428,33.665581,-117.75203
1204779,0.532801354890853,166.85714285714286,33.66578,-117.751722
1204781,5.0374184246503795,1864.2857142857144,33.665581,-117.75203
1204787,3.988380408709569,1881.857142857143,33.66578,-117.751722
1204796,0.5616710150527954,274.9642857142857,33.66617,-117.75249999999998
1204798,4.568993629574964,1688.392857142857,33.66617,-117.75249999999998
1204806,0.5444419308413581,170.78571428571428,33.667646,-117.753237
1204808,4.253488880117175,1991.892857142857,33.667646,-117.753237
1204814,0.5976013756229068,214.7142857142857,33.6716,-117.755616
