OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
478,MD-350 - MD/HD-400,12,4,5,,55.345990401119117,,98.299528580046953,,,,68.847250795281226,0.766003822012972
479,MD-350 - MD/HD-100,12,32,6,,81.954634174266388,,135.618130426108110,,,,95.180747569400538,1.264926786914663
480,MD-350 - MD-450,12,13,7,,91.838406344455947,,160.227655558228520,,,,112.820461356467973,1.397667258638068
481,MD-350 - MD-250,12,35,8,,92.661487778089267,,160.493215821499348,,,,113.268139715623690,1.323138500655379
482,MD-350 - MD-250,12,11,9,,92.597971819973338,,165.352564644789425,,,,116.305158579632291,1.604770557198181
483,MD-350 - MD-50,12,31,10,,109.965091040255857,,189.724827931171973,,,,131.418553396648974,1.724383342426298
484,MD-350 - MD/HD-00,12,41,11,,141.939234545659161,,226.988351736799132,,,,165.247658347771107,2.051072171639529
485,MD-350 - MD/HD-200,12,2,12,,134.750049383379690,,249.282834112899536,,,,170.878417091182541,2.378267992998556
486,MD-350 - MD-50,12,42,13,,155.153041590408009,,250.902312369824102,,,,180.938274877532024,2.186748240036246
487,MD-350 - MD/HD-500,12,5,14,,145.906846104629921,,257.388441727550003,,,,176.927737197699486,2.240451393216966
